App,Category,Rating,Reviews,Size_MB,Installs,Type,Price_$,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Last_Updated_Year,Primary_Genre
2017 BN SM Sales Conference,BUSINESS,4.3,2,10.0,100,Free,0.0,Teen,Business,2017-09-28,2.7.11.6,4.1,2017,Business
2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8,1000,Paid,16.99,Everyone,Medical,2017-01-27,1.0.5,4.0.3,2017,Medical
2019 Tricks Es File Explores,TOOLS,3.25,4,2.0,1000,Free,0.0,Everyone,Tools,2016-03-16,1.0,2.2,2016,Tools
2048 BTS J Hope KPop Puzzle Game,FAMILY,4.7,17,2.4,1000,Free,0.0,Everyone,Puzzle,2017-09-26,1,2.3.3,2017,Puzzle
2048(AI),FAMILY,4.3,20,3.5,1000,Free,0.0,Everyone,Casual,2015-06-03,0.33,2.3,2015,Casual
20WPM Amateur ham radio Koch CW Morse code trainer,COMMUNICATION,4.3,12,3.7,100,Paid,1.49,Everyone,Communication,2018-05-22,3.0.4,2.1,2018,Communication
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15.0,100000,Free,0.0,Everyone,Health & Fitness,2018-08-02,3.0.0,4.1,2018,Health & Fitness
211:CK,GAME,5.0,8,38.0,10,Paid,0.99,Teen,Arcade,2018-04-11,1.3,4.1,2018,Arcade
211:CK Lite,GAME,4.3,3,39.0,10,Free,0.0,Mature 17+,Action,2017-09-22,1.0,4.1,2017,Action
23rd QM BDE EO,BUSINESS,4.3,0,6.3,10,Free,0.0,Everyone,Business,2017-09-27,1.0.0,4.1,2017,Business
24 megapixel hd camera,PHOTOGRAPHY,4.0,802,5.1,100000,Free,0.0,Everyone,Photography,2017-05-03,1.1,2.3,2017,Photography
24/7 BZ Reis,TRAVEL_AND_LOCAL,3.25,421,53.0,100000,Free,0.0,Everyone,Travel & Local,2018-03-09,4.4.15,4.1,2018,Travel & Local
25 Mins Ako ay may lobo Etc Pinoy Kid Song Offline,FAMILY,4.3,0,42.0,10,Free,0.0,Mature 17+,Entertainment,2018-07-29,3.0,2.3,2018,Entertainment
25WPM Amateur ham radio Koch CW Morse code trainer,TOOLS,4.2,0,3.7,10,Paid,1.49,Everyone,Tools,2018-05-18,2.0.3,2.1,2018,Tools
"2Date Dating App, Love and matching",DATING,4.4,41339,8.1,500000,Free,0.0,Mature 17+,Dating,2018-07-26,4.813,4.0.3,2018,Dating
"2Do - Reminders, To-do List & Notes",PRODUCTIVITY,4.3,4649,30.0,100000,Free,0.0,Everyone,Productivity,2018-06-19,2.8.12,5.0,2018,Productivity
2RedBeans,DATING,4.0,337,32.0,10000,Free,0.0,Mature 17+,Dating,2018-07-31,2.8.0,4.3,2018,Dating
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32.0,1000000,Free,0.0,Everyone,Communication,2018-08-03,5.65.0,4.0,2018,Communication
30 Day AB Challenge - Lumowell,HEALTH_AND_FITNESS,4.8,793,40.0,10000,Free,0.0,Everyone,Health & Fitness,2016-09-15,1.0.3,4.0.3,2016,Health & Fitness
30 Day Ab Challenge,HEALTH_AND_FITNESS,4.5,1886,7.6,500000,Free,0.0,Everyone,Health & Fitness,2016-06-21,3.2.1,4.0,2016,Health & Fitness
30-Day Ab Challenge Tracker,HEALTH_AND_FITNESS,3.5,224,0.36,10000,Free,0.0,Everyone,Health & Fitness,2014-07-09,1.2.6,4.1,2014,Health & Fitness
30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5.0,1,3.7,10,Paid,1.49,Everyone,Education,2018-05-18,2.0.2,2.1,2018,Education
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,10000,Free,0.0,Everyone,Art & Design,2017-11-07,1.0,2.3,2017,Art & Design
360-M Flight,TOOLS,3.9,84,24.0,10000,Free,0.0,Everyone,Tools,2017-12-14,2.18,4.0.3,2017,Tools
365Scores - Live Scores,SPORTS,4.6,41339,25.0,2498500,Free,0.0,Everyone,Sports,2018-07-29,5.5.9,4.1,2018,Sports
3D Blue Glass Water Keyboard Theme,PERSONALIZATION,4.1,41339,7.4,2498500,Free,0.0,Everyone,Personalization,2018-07-01,6.7.1,4.0.3,2018,Personalization
3D Bowling,SPORTS,4.1,41339,13.0,2498500,Free,0.0,Everyone,Sports,2018-01-18,3.1,2.0.1,2018,Sports
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,100000,Free,0.0,Everyone,Art & Design,2018-08-03,1.2.3,2.3,2018,Art & Design
3D Color by Number with Voxels,FAMILY,4.5,5481,63.099999999999994,500000,Free,0.0,Everyone,Entertainment,2018-07-07,1.3,4.4,2018,Entertainment
"3D Color by Number: Voxel, Unicorn, Pixel Art 3D",FAMILY,4.3,2017,20.0,100000,Free,0.0,Everyone,Entertainment,2018-02-16,2.4,4.1,2018,Entertainment
3D DJ – DJ Mixer 2018,FAMILY,4.3,6333,30.0,1000000,Free,0.0,Everyone,Entertainment,2018-05-25,1.1.12,5.0,2018,Entertainment
3D DJ – Music Mixer with Virtual DJ,FAMILY,4.3,796,28.0,100000,Free,0.0,Everyone,Entertainment,2018-07-03,6.6.8,5.0,2018,Entertainment
3D Holograms Joke,FAMILY,3.25,31596,31.0,2498500,Free,0.0,Teen,Simulation,2016-12-23,1.5,2.3,2016,Simulation
3D Live Neon Weed Launcher,PERSONALIZATION,4.5,1724,21.0,100000,Free,0.0,Mature 17+,Personalization,2018-06-26,5.34.10,4.0.3,2018,Personalization
3D Metal Piano Keys Keyboard Theme,FOOD_AND_DRINK,4.4,467,7.3,100000,Free,0.0,Everyone,Food & Drink,2018-07-01,6.7.1,4.0.3,2018,Food & Drink
3D Tennis,SPORTS,4.2,41339,13.0,2498500,Free,0.0,Everyone,Sports,2017-12-05,1.7.7,2.1,2017,Sports
3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp,FAMILY,4.2,449,56.0,10000,Free,0.0,Teen,Casual,2018-02-16,1.5,4.0,2018,Casual
3G DZ Configuration,COMMUNICATION,4.3,488,2.5,50000,Free,0.0,Everyone,Communication,2015-11-19,6.2.3,3.0,2015,Communication
3G to 4G Converter - Simulator,TOOLS,4.2,268,2.4,10000,Free,0.0,Everyone,Tools,2018-02-21,3.0.0,4.1,2018,Tools
3G/4G Config Dz,TOOLS,4.2,2058,2.3,100000,Free,0.0,Everyone,Tools,2017-05-15,3.0.2,4.0,2017,Tools
4 Paws PH,MEDICAL,4.3,1,29.0,5,Free,0.0,Everyone,Medical,2018-07-25,300000.1.11,4.0.3,2018,Medical
4 in a row,GAME,4.3,41339,4.1,2498500,Free,0.0,Everyone,Board,2016-04-12,1.0.21,1.5,2016,Board
4 x4 Offroad SUV 3D Truck Simulator Driving 2017,FAMILY,4.4,32,37.0,1000,Free,0.0,Everyone,Simulation,2017-12-06,1.0,2.3,2017,Simulation
4-T's Bar-BQ & Catering,SHOPPING,4.3,0,0.24,10,Free,0.0,Everyone,Shopping,2017-01-16,1.0.1,4.1,2017,Shopping
420 BZ Budeze Delivery,MEDICAL,5.0,2,11.0,100,Free,0.0,Mature 17+,Medical,2018-06-06,1.0.1,4.1,2018,Medical
4Eternity EO,BUSINESS,4.3,0,2.0,10,Free,0.0,Everyone,Business,2018-01-17,1.2,4.1,2018,Business
4K Ultra Camera,PHOTOGRAPHY,4.2,382,2.9,100000,Free,0.0,Everyone,Photography,2018-07-30,39.272.12,2.2,2018,Photography
4K VIDEO PLAYER ULTRA HD,VIDEO_PLAYERS,3.7,20,24.0,5000,Free,0.0,Everyone,Video Players & Editors,2017-05-01,7.0,2.3.3,2017,Video Players & Editors
4K Wallpapers and Ultra HD Backgrounds,PERSONALIZATION,4.6,7583,3.8,500000,Free,0.0,Everyone 10+,Personalization,2018-07-04,2.6.2.1,4.0.3,2018,Personalization
4x4 Jeep Racer,GAME,4.1,7279,54.0,1000000,Free,0.0,Everyone,Racing,2018-03-09,1.5,4.0,2018,Racing
5 Minute Ab Workouts,HEALTH_AND_FITNESS,4.6,2067,8.4,50000,Free,0.0,Everyone,Health & Fitness,2018-05-18,2.0.4,4.1,2018,Health & Fitness
5 Minute Clinical Consult 2019 - #1 for 25 years,MEDICAL,4.2,33,8.0,10000,Free,0.0,Everyone,Medical,2018-05-02,2.6.2,4.2,2018,Medical
5 Minute Veterinary Consult: Canine & Feline,MEDICAL,3.25,17,6.8,1000,Free,0.0,Everyone,Medical,2018-03-29,2.6,4.2,2018,Medical
5 Nights at Cube Pizzeria City,GAME,3.8,2691,52.0,100000,Free,0.0,Teen,Adventure,2017-02-22,1.2,4.2,2017,Adventure
5-Minute Clinical Consult,MEDICAL,4.1,84,6.1,10000,Free,0.0,Everyone,Medical,2017-12-11,2.7.36,4.1,2017,Medical
50 Healthy Slow Cooker Recipes,FOOD_AND_DRINK,4.0,196,9.0,10000,Free,0.0,Everyone 10+,Food & Drink,2017-02-17,1.2,2.3.3,2017,Food & Drink
500 AP World History Questions,FAMILY,4.7,7,1.2,100,Paid,9.99,Everyone,Education,2013-11-01,1.2,1.6,2013,Education
50000 Free eBooks & Free AudioBooks,BOOKS_AND_REFERENCE,4.1,41339,11.0,2498500,Free,0.0,Teen,Books & Reference,2018-05-19,5.3.4,4.4,2018,Books & Reference
591 Housing Trading - Hong Kong,HOUSE_AND_HOME,4.3,3522,15.0,100000,Free,0.0,Everyone,House & Home,2018-08-02,3.10.8,4.0,2018,House & Home
"591 housing transactions - renting houses, middle-class houses, new cases, real-time registration, villas through the sky, apartment suites, MRT, buying a house selling prices, housing mortgages",HOUSE_AND_HOME,4.1,24977,21.0,1000000,Free,0.0,Everyone,House & Home,2018-08-01,3.5.9,4.0.3,2018,House & Home
7 Day Food Journal Challenge,LIFESTYLE,4.5,3346,14.0,100000,Free,0.0,Teen,Lifestyle,2017-03-08,3.6.3,4.0.3,2017,Lifestyle
7 Nights at Pixel Pizzeria - 2,GAME,4.0,23168,54.0,1000000,Free,0.0,Teen,Adventure,2018-07-09,1.3.0,4.4,2018,Adventure
7 Weeks - Habit & Goal Tracker,PRODUCTIVITY,4.4,6011,4.3,500000,Free,0.0,Everyone,Productivity,2015-12-19,3.2.1,4.1,2015,Productivity
7 minute abs workout - Daily Ab Workout,HEALTH_AND_FITNESS,4.8,527,23.0,100000,Free,0.0,Everyone,Health & Fitness,2018-03-30,2.01,4.1,2018,Health & Fitness
8 Ball Pool,GAME,4.5,41339,52.0,2498500,Free,0.0,Everyone,Sports,2018-07-31,4.0.0,4.0.3,2018,Sports
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,41339,63.099999999999994,2498500,Free,0.0,Everyone,Health & Fitness,2018-07-11,3.5.0,5.0,2018,Health & Fitness
95Live -SG#1 Live Streaming App,DATING,4.1,4954,15.0,1000000,Free,0.0,Teen,Dating,2018-08-01,8.7.2,4.2,2018,Dating
98point6,MEDICAL,4.6,47,21.0,10000,Free,0.0,Everyone,Medical,2018-08-02,1.7.1946,5.0,2018,Medical
9th stage,FOOD_AND_DRINK,4.5,454,16.0,100000,Free,0.0,Everyone,Food & Drink,2018-03-28,2.0.0,4.0.3,2018,Food & Drink
A & B Taxi,MAPS_AND_NAVIGATION,4.1,41,25.0,1000,Free,0.0,Everyone,Maps & Navigation,2018-07-04,0.19.13,4.0.3,2018,Maps & Navigation
A Better Camera,PHOTOGRAPHY,4.1,41339,10.0,2498500,Free,0.0,Everyone,Photography,2018-06-08,3.52,4.0,2018,Photography
A Call From Santa Claus!,FAMILY,3.9,3720,11.0,1000000,Free,0.0,Everyone,Entertainment,2016-12-04,4.2.3,4.0.3,2016,Entertainment
A Manual of Acupuncture,MEDICAL,3.5,214,63.099999999999994,1000,Paid,33.99,Everyone,Medical,2017-10-02,2.1.35,4.0,2017,Medical
A Word A Day,FAMILY,3.7,2398,2.9,500000,Free,0.0,Everyone,Education,2017-01-05,5.8,4.0,2017,Education
A hundred,DATING,4.1,236,8.8,10000,Free,0.0,Mature 17+,Dating,2018-03-29,3.9.2,4.0.3,2018,Dating
A&E - Watch Full Episodes of TV Shows,FAMILY,4.0,29708,19.0,1000000,Free,0.0,Teen,Entertainment,2018-07-16,3.1.4,4.4,2018,Entertainment
A&W Restaurants,FOOD_AND_DRINK,3.25,14,13.0,1000,Free,0.0,Everyone,Food & Drink,2018-06-06,2.7.0,4.1,2018,Food & Drink
A+ Mobile,FINANCE,3.9,730,6.3,10000,Free,0.0,Everyone,Finance,2018-06-26,5.4.4,4.4,2018,Finance
A-B repeater,VIDEO_PLAYERS,4.4,32,0.23,5000,Free,0.0,Everyone,Video Players & Editors,2018-05-18,1.8,3.0,2018,Video Players & Editors
A-J Media Vault,BOOKS_AND_REFERENCE,4.5,1,24.0,50,Free,0.0,Everyone,Books & Reference,2017-01-04,5.62.1,4.0.3,2017,Books & Reference
A-Y Collection,SHOPPING,5.0,2,2.9,100,Free,0.0,Teen,Shopping,2018-02-16,1.2,4.1,2018,Shopping
A-Z App Store,PRODUCTIVITY,3.25,2728,4.4,500000,Free,0.0,Everyone,Productivity,2016-10-05,1.0.5,4.1,2016,Productivity
A-Z Punjabi Songs & Music Videos 2018,FAMILY,4.3,367,5.1,100000,Free,0.0,Everyone,Entertainment,2018-05-17,1.0.19,4.1,2018,Entertainment
A-Z Screen Recorder -,VIDEO_PLAYERS,4.2,17,3.7,500,Free,0.0,Everyone,Video Players & Editors,2018-07-23,1.0,4.4,2018,Video Players & Editors
A. O. Smith,TOOLS,4.2,32,33.0,10000,Free,0.0,Everyone,Tools,2018-05-21,3.0.22,4.0,2018,Tools
A.J. Green Wallpapers 4 Fans,LIFESTYLE,4.2,0,4.3,5,Free,0.0,Everyone,Lifestyle,2018-05-26,1.0,4.0,2018,Lifestyle
A.J. Styles HD Wallpapers 2018,PHOTOGRAPHY,4.3,1,7.6,100,Free,0.0,Everyone,Photography,2018-07-26,1.0,4.1,2018,Photography
A/C Air Conditioner Remote,TOOLS,3.4,7816,5.1,1000000,Free,0.0,Everyone,Tools,2016-07-30,1.1.1,3.0,2016,Tools
A/C REFRIGERANT CAPACITY,BUSINESS,3.25,84,2.1,10000,Free,0.0,Everyone,Business,2014-10-28,1.0,4.1,2014,Business
A/C Universal Remote Control,TOOLS,3.25,3263,3.0,1000000,Free,0.0,Everyone,Tools,2017-05-16,1.17,3.0,2017,Tools
A41 WatchFace for Android Wear Smart Watch,LIFESTYLE,4.5,231,5.7,5000,Paid,0.99,Everyone,Lifestyle,2017-12-24,7.0.1,4.3,2017,Lifestyle
AAFP,MEDICAL,3.8,63,24.0,10000,Free,0.0,Everyone,Medical,2018-06-22,2.3.1,5.0,2018,Medical
AAS-IN-ASIA 2018,EVENTS,4.5,3,11.0,100,Free,0.0,Everyone,Events,2018-07-04,1.1.9,4.1,2018,Events
AB Anywhere Mobile Banking,FINANCE,4.3,3,11.0,500,Free,0.0,Everyone,Finance,2018-07-03,4.17.82,4.4,2018,Finance
AB Blast Match 3,FAMILY,4.3,111,48.0,10000,Free,0.0,Everyone,Puzzle,2018-06-19,1.13,4.1,2018,Puzzle
AB Click2Shop,SHOPPING,3.8,454,18.0,100000,Free,0.0,Everyone,Shopping,2018-06-26,1.1.0.0,4.1,2018,Shopping
AB Crush Match 3,FAMILY,4.3,96,54.0,10000,Free,0.0,Everyone,Casual,2017-02-23,1.1,2.3,2017,Casual
AB Match,FAMILY,4.2,9,30.0,1000,Free,0.0,Everyone,Casual,2018-05-19,1.0.4,4.1,2018,Casual
AB Mobile App,HEALTH_AND_FITNESS,3.4,2105,8.2,100000,Free,0.0,Everyone,Health & Fitness,2017-08-21,2.1.0,4.0.3,2017,Health & Fitness
AB Repeat Player,VIDEO_PLAYERS,4.3,1628,18.0,100000,Free,0.0,Everyone,Video Players & Editors,2018-03-06,4.1.1,4.4,2018,Video Players & Editors
AB Screen Recorder,TOOLS,4.2,533,5.0,10000,Free,0.0,Everyone,Tools,2017-10-02,2.8,5.0,2017,Tools
ABAI CE Scanner,FAMILY,4.3,0,4.3,1000,Free,0.0,Everyone,Education,2018-01-23,1.3,4.1,2018,Education
ABC News - US & World News,NEWS_AND_MAGAZINES,4.0,18976,35.0,1000000,Free,0.0,Everyone 10+,News & Magazines,2018-06-06,3.19.11,5.0,2018,News & Magazines
ABC Preschool Free,EDUCATION,3.8,27572,25.0,2498500,Free,0.0,Everyone,Education;Education,2017-10-25,3.0,2.3,2017,Education
ABCmouse.com,FAMILY,4.3,41339,63.099999999999994,2498500,Free,0.0,Everyone,Education;Education,2018-07-03,7.2.0,4.4,2018,Education
ABG Master,MEDICAL,4.3,2,1.8,50,Paid,0.99,Everyone,Medical,2018-08-04,1.1,4.1,2018,Medical
"ABS Workout - Belly workout, 30 days AB",HEALTH_AND_FITNESS,4.8,5103,13.0,100000,Free,0.0,Everyone,Health & Fitness,2018-07-13,2.0.5,4.0.3,2018,Health & Fitness
ABTO CY-ET1,TOOLS,4.2,1,29.0,100,Free,0.0,Everyone,Tools,2017-02-06,2.0.0.0,4.0,2017,Tools
"AC & TV, DVD, Set Top Box - Remote control IR",TOOLS,3.6,3632,3.2,1000000,Free,0.0,Everyone,Tools,2017-11-13,1111.26,4.0.3,2017,Tools
AC - Tips & News for Android™,NEWS_AND_MAGAZINES,4.2,23292,14.0,1000000,Free,0.0,Everyone 10+,News & Magazines,2018-05-24,3.1.12,4.1,2018,News & Magazines
"AC Air condition Troubleshoot,Repair,Maintenance",BOOKS_AND_REFERENCE,4.2,27,3.1,5000,Free,0.0,Everyone,Books & Reference,2018-02-07,1.1,4.0,2018,Books & Reference
AC CE BJT Actorial,FAMILY,4.3,1,1.4,50,Paid,2.0,Everyone,Education,2015-09-27,2.4,1.6,2015,Education
AC DC Power Monitor,LIFESTYLE,5.0,1,1.2,10,Paid,3.04,Everyone,Lifestyle,2016-05-29,1.2,2.3,2016,Lifestyle
AC Mobile Control,HOUSE_AND_HOME,3.4,1450,9.7,100000,Free,0.0,Everyone,House & Home,2013-11-05,2.4,2.2,2013,House & Home
AC REMOTE UNIVERSAL-PRO,FAMILY,3.25,402,1.7,100000,Free,0.0,Everyone,Entertainment,2015-12-11,1.0,2.2,2015,Entertainment
AC Remote Control,TOOLS,3.3,472,2.0,100000,Free,0.0,Everyone,Tools,2017-10-17,1.3,4.1,2017,Tools
AC Remote Control Simulator,FAMILY,3.3,353,2.3,100000,Free,0.0,Everyone,Entertainment,2017-12-04,1.0,4.0.3,2017,Entertainment
AC Remote For LG,TOOLS,3.25,1298,3.4,100000,Free,0.0,Everyone,Tools,2018-02-20,1.0,4.0,2018,Tools
AC Remote for Carrier - NOW FREE,TOOLS,3.7,163,26.0,10000,Free,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2,2018,Tools
AC Remote for Daikin - NOW FREE,TOOLS,3.5,383,26.0,50000,Free,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2,2018,Tools
AC Remote for Haier - NOW FREE,TOOLS,3.9,336,27.0,50000,Free,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2,2018,Tools
AC Remote for LG - NOW FREE,TOOLS,3.7,1041,28.0,100000,Free,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2,2018,Tools
AC Remote for Midea - NOW FREE,TOOLS,4.0,448,26.0,100000,Free,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2,2018,Tools
AC Remote for O General - NOW FREE,TOOLS,3.7,274,26.0,50000,Free,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2,2018,Tools
AC Remote for Samsung - NOW FREE,TOOLS,3.7,566,27.0,100000,Free,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2,2018,Tools
AC Remote for Sharp - NOW FREE,TOOLS,3.7,332,26.0,50000,Free,0.0,Everyone,Tools,2018-07-30,6.1.7,4.2,2018,Tools
AC Troubleshooter,TOOLS,4.7,147,4.2,10000,Free,0.0,Everyone,Tools,2015-01-08,1.3,3.0,2015,Tools
AC WIFI,TOOLS,3.6,41,23.0,10000,Free,0.0,Everyone,Tools,2018-06-03,1.0.3,2.3,2018,Tools
AC remote control mobile,TOOLS,3.9,3043,7.7,100000,Free,0.0,Everyone,Tools,2017-06-02,1.3,4.0.3,2017,Tools
AC-BL,COMMUNICATION,4.3,0,4.3,50,Free,0.0,Everyone,Communication,2018-04-20,1.7,2.1,2018,Communication
ACCDB MDB DB Manager Pro - Editor for MS Access,PRODUCTIVITY,3.25,19,4.5,500,Paid,8.99,Everyone,Productivity,2016-11-03,1.0.8,4.0,2016,Productivity
ACCEPT CE MARKING,PRODUCTIVITY,4.3,0,30.0,10,Free,0.0,Everyone,Productivity,2018-06-28,1.0,4.1,2018,Productivity
ACE Elite,FINANCE,4.1,2898,45.0,100000,Free,0.0,Everyone,Finance,2018-05-09,4.10.0,4.4,2018,Finance
ACTIVEON CX & CX GOLD,VIDEO_PLAYERS,3.3,439,35.0,50000,Free,0.0,Everyone,Video Players & Editors,2016-03-04,0.7.9,4.0,2016,Video Players & Editors
ADMIRALTY H-Note,BUSINESS,4.5,176,19.0,10000,Free,0.0,Everyone,Business,2016-10-25,2.0,5.0,2016,Business
ADP Mobile Solutions,BUSINESS,4.3,41339,29.0,2498500,Free,0.0,Everyone,Business,2018-07-17,3.4.2,5.0,2018,Business
ADS-B Driver,TOOLS,5.0,2,6.3,100,Paid,1.99,Everyone,Tools,2018-05-15,1.19,4.4,2018,Tools
ADWLauncher 1 EX,PERSONALIZATION,4.3,28728,2.8,500000,Paid,2.49,Everyone,Personalization,2013-07-27,1.3.3.9,1.6,2013,Personalization
"AE + Aerie: Jeans, Dresses, Swimsuits & Bralettes",SHOPPING,4.2,20476,28.0,1000000,Free,0.0,Everyone,Shopping,2018-07-17,5.6.0,4.4,2018,Shopping
AE 3D Moto 3,GAME,3.9,2588,26.0,100000,Free,0.0,Everyone 10+,Racing,2014-12-31,1.7.1,2.3,2014,Racing
AE Air Hockey,SPORTS,3.8,926,7.6,50000,Free,0.0,Everyone,Sports,2013-08-01,1.0.0,2.2,2013,Sports
AE Angry Chef,GAME,4.1,533,39.0,10000,Free,0.0,Everyone 10+,Action,2014-01-24,1.0,2.1,2014,Action
AE Blackjack,GAME,4.0,1417,17.0,100000,Free,0.0,Teen,Card,2015-11-27,1.3.1,2.3,2015,Card
AE Bulletins,BOOKS_AND_REFERENCE,4.5,14,30.0,1000,Free,0.0,Everyone,Books & Reference,2018-07-18,2.2.5,4.0.3,2018,Books & Reference
AE Checkout Plugin,SHOPPING,3.8,208,0.08,10000,Free,0.0,Everyone,Shopping,2015-02-11,1.3.1,2.3,2015,Shopping
AE City Jump,GAME,4.5,804,27.0,10000,Free,0.0,Everyone,Action,2018-07-18,1.0.4,4.0,2018,Action
AE Coin Mania : Arcade Fun,GAME,4.3,30002,29.0,1000000,Free,0.0,Teen,Casino,2018-02-08,2.3.5,4.0.3,2018,Casino
AE Fishing Hunter,GAME,4.4,14,6.6,1000,Free,0.0,Everyone,Adventure,2016-03-15,0.0.3,3.0,2016,Adventure
AE FreeCell,GAME,4.2,358,15.0,10000,Free,0.0,Everyone,Card,2014-11-06,1.1.5,2.3,2014,Card
AE Garage,AUTO_AND_VEHICLES,4.4,64,63.099999999999994,1000,Free,0.0,Everyone,Auto & Vehicles,2017-06-27,1.0,4.1,2017,Auto & Vehicles
AE Gun Ball: arcade ball games,GAME,3.7,8581,12.0,1000000,Free,0.0,Everyone,Arcade,2013-12-13,1.0.2,2.2,2013,Arcade
AE Jewels,GAME,4.2,960,18.0,50000,Free,0.0,Everyone,Action,2015-08-20,1.0.5,3.0,2015,Action
