User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location
52.0,53.0,Female,10.59,10.38,24.0,2.73,1.76,3.66,Chicago
53.0,57.0,Male,5.77,12.22,16.0,2.09,4.55,3.42,Phoenix
54.0,21.0,Female,1.48,1.03,10.0,0.8,2.84,1.06,Phoenix
55.0,19.0,Male,2.78,10.33,29.0,0.85,3.81,1.19,New York
56.0,23.0,Female,1.23,11.78,25.0,2.09,4.06,1.41,Houston
57.0,59.0,Male,8.19,1.53,6.0,3.79,1.71,2.06,Houston
58.0,21.0,Female,4.66,12.33,29.0,4.49,2.17,1.17,New York
59.0,46.0,Male,6.97,4.34,22.0,0.42,4.24,0.1,Phoenix
60.0,35.0,Male,6.43,9.65,13.0,1.97,1.82,4.4,Los Angeles
61.0,43.0,Female,1.9,11.4,28.0,0.5,3.97,4.83,Los Angeles
62.0,51.0,Female,5.44,9.61,13.0,0.08,4.7,1.71,Phoenix
63.0,27.0,Male,3.43,2.2,29.0,3.31,3.12,1.69,Houston
64.0,53.0,Female,5.6,8.75,13.0,3.01,3.71,0.04,Los Angeles
65.0,31.0,Male,3.24,8.14,4.0,0.82,4.03,3.4,Chicago
66.0,48.0,Male,10.24,12.7,19.0,1.17,4.23,4.13,Chicago
67.0,32.0,Male,2.92,6.26,11.0,0.12,1.98,0.73,New York
68.0,25.0,Female,11.57,5.17,4.0,4.17,0.26,0.8,Phoenix
69.0,31.0,Male,5.57,10.75,26.0,4.87,2.01,3.95,Phoenix
70.0,40.0,Male,10.31,6.36,17.0,0.68,3.37,3.08,Los Angeles
71.0,57.0,Female,7.92,9.4,18.0,1.16,2.25,0.22,Houston
72.0,38.0,Female,9.09,9.4,27.0,4.34,3.74,3.11,Phoenix
73.0,33.0,Female,9.44,12.54,6.0,4.63,1.78,1.54,Los Angeles
74.0,35.0,Female,6.55,8.78,10.0,2.1,3.17,1.84,Los Angeles
75.0,41.0,Male,6.98,7.53,11.0,0.25,0.93,3.85,Phoenix
76.0,43.0,Male,6.65,2.81,28.0,0.2,3.75,4.05,Los Angeles
77.0,42.0,Male,7.47,2.5,28.0,2.87,2.73,2.0,New York
78.0,58.0,Male,1.32,3.01,7.0,1.96,1.02,4.74,New York
79.0,46.0,Female,5.35,3.23,18.0,0.14,1.46,2.03,Phoenix
80.0,32.0,Male,7.67,9.29,15.0,2.92,3.74,3.86,Houston
81.0,18.0,Male,7.57,10.63,9.0,0.06,2.41,2.42,New York
82.0,42.0,Female,9.72,7.89,28.0,3.94,1.08,4.49,New York
83.0,24.0,Male,8.21,11.78,22.0,1.53,4.84,4.54,Phoenix
84.0,26.0,Male,11.91,13.89,19.0,0.2,3.58,0.44,Chicago
85.0,41.0,Male,4.12,11.66,5.0,2.94,4.79,4.68,Los Angeles
86.0,18.0,Male,4.95,10.03,7.0,1.99,2.14,4.13,New York
87.0,25.0,Male,5.22,7.92,21.0,4.87,2.38,3.96,Chicago
88.0,41.0,Male,6.12,6.84,14.0,2.72,4.49,1.0,Houston
89.0,28.0,Female,10.2,2.1,29.0,1.38,2.63,4.03,Chicago
90.0,34.0,Female,3.59,6.19,9.0,3.55,3.54,4.25,Phoenix
91.0,25.0,Male,9.54,12.83,11.0,1.36,1.26,1.45,Houston
92.0,52.0,Male,5.46,11.5,8.0,4.52,2.23,4.76,Houston
93.0,52.0,Female,7.62,3.81,28.0,1.87,0.62,0.25,Chicago
94.0,50.0,Male,7.96,7.07,19.0,2.75,1.03,0.75,Phoenix
95.0,22.0,Male,5.1,11.62,18.0,0.25,0.0,2.69,New York
96.0,59.0,Male,6.64,1.88,25.0,2.13,0.2,2.88,Chicago
97.0,56.0,Female,5.54,6.04,5.0,4.16,4.89,3.23,New York
98.0,58.0,Male,1.76,12.07,23.0,4.03,1.21,0.08,Chicago
99.0,45.0,Female,5.81,6.25,28.0,1.12,3.32,4.8,New York
100.0,24.0,Male,2.07,2.01,6.0,1.13,4.2,0.22,Chicago
101.0,26.0,Female,5.46,8.05,12.0,4.09,2.75,0.72,Houston
102.0,25.0,Female,7.52,12.2,7.0,4.65,0.77,0.07,Los Angeles
103.0,29.0,Male,7.37,8.67,23.0,0.48,3.64,2.83,Houston
104.0,51.0,Female,8.29,3.94,24.0,2.25,3.0,4.66,New York
105.0,50.0,Male,2.05,6.0,12.0,1.69,3.66,3.33,Phoenix
106.0,40.0,Female,8.17,6.85,14.0,4.35,3.85,4.11,Houston
107.0,41.0,Male,4.43,8.53,12.0,0.42,4.88,0.07,Los Angeles
108.0,54.0,Male,5.39,10.87,15.0,1.06,2.87,2.71,New York
109.0,52.0,Female,10.44,2.29,13.0,3.76,1.71,2.3,Houston
110.0,57.0,Male,1.1,12.57,24.0,0.26,3.24,2.49,Chicago
111.0,39.0,Male,7.47,1.16,18.0,2.46,0.34,0.36,Phoenix
112.0,44.0,Female,7.59,5.81,10.0,2.21,4.49,3.42,New York
113.0,52.0,Male,5.36,1.36,10.0,1.67,0.6,2.52,Houston
114.0,18.0,Male,3.61,6.11,29.0,1.97,1.64,3.83,New York
115.0,52.0,Female,3.58,7.84,27.0,2.65,4.08,2.43,Chicago
116.0,54.0,Female,10.72,7.65,10.0,0.81,2.99,0.75,Los Angeles
117.0,31.0,Male,5.86,3.15,15.0,2.86,1.97,3.24,Houston
118.0,20.0,Male,4.64,9.39,29.0,4.03,2.37,0.86,New York
119.0,18.0,Female,5.94,1.58,4.0,3.8,4.27,4.36,New York
120.0,22.0,Female,8.36,10.9,14.0,0.77,1.7,3.07,New York
121.0,43.0,Male,2.6,13.31,12.0,0.75,4.35,0.79,Los Angeles
122.0,31.0,Female,5.94,5.42,14.0,1.34,0.44,4.81,New York
123.0,56.0,Male,7.47,7.72,13.0,1.81,3.88,2.59,Phoenix
124.0,44.0,Male,11.43,5.93,17.0,2.04,4.24,0.36,Phoenix
125.0,26.0,Male,3.78,1.09,18.0,3.4,0.91,3.13,New York
126.0,32.0,Male,4.95,6.02,19.0,0.28,2.15,1.27,Phoenix
127.0,32.0,Male,5.17,11.29,28.0,0.17,0.83,4.02,Houston
128.0,43.0,Female,7.66,8.75,4.0,1.96,3.53,4.09,Phoenix
129.0,59.0,Female,4.92,2.32,20.0,3.49,2.68,4.89,New York
130.0,30.0,Female,6.87,12.01,14.0,0.97,3.18,2.51,Chicago
131.0,49.0,Female,9.6,7.9,21.0,3.21,0.98,2.27,Houston
132.0,56.0,Male,8.76,11.94,28.0,1.3,1.06,3.77,Los Angeles
133.0,49.0,Male,5.91,8.54,25.0,4.43,0.21,0.66,New York
134.0,21.0,Male,10.51,8.28,20.0,4.48,1.61,2.73,Los Angeles
135.0,47.0,Male,7.14,2.37,19.0,1.49,2.8,2.73,Chicago
136.0,54.0,Female,6.94,3.18,8.0,1.15,4.29,0.45,Los Angeles
137.0,40.0,Male,1.38,13.64,27.0,2.06,3.33,2.09,New York
138.0,56.0,Male,11.85,3.97,17.0,1.2,2.18,4.27,New York
139.0,32.0,Female,2.35,13.71,5.0,3.36,4.77,4.28,Chicago
140.0,46.0,Female,3.54,7.91,8.0,4.13,3.6,0.5,New York
141.0,53.0,Female,1.57,2.77,5.0,3.37,4.65,0.45,Chicago
142.0,30.0,Female,8.04,2.29,3.0,4.12,2.64,1.31,Chicago
143.0,49.0,Male,3.47,3.72,15.0,1.98,1.29,4.37,New York
144.0,24.0,Male,2.98,13.03,23.0,0.78,0.26,0.64,Phoenix
145.0,39.0,Female,1.97,6.38,28.0,3.69,3.63,3.6,Chicago
146.0,45.0,Male,2.14,6.14,16.0,1.8,0.61,0.51,New York
147.0,19.0,Male,7.43,5.07,15.0,3.36,1.51,3.12,Phoenix
148.0,59.0,Male,8.57,2.91,29.0,1.35,2.66,1.78,Chicago
149.0,23.0,Female,5.37,7.34,6.0,0.41,2.82,3.94,Phoenix
150.0,45.0,Male,6.28,2.69,9.0,4.96,3.0,1.17,Houston
151.0,45.0,Female,8.55,11.86,24.0,0.78,0.83,3.2,Houston
152.0,37.0,Male,1.19,5.82,12.0,4.94,1.9,1.18,Phoenix
153.0,47.0,Male,4.55,5.87,9.0,4.89,3.09,3.57,Chicago
154.0,28.0,Male,11.7,7.16,23.0,3.97,4.85,4.37,New York
155.0,45.0,Female,7.38,6.77,17.0,3.3,3.64,0.63,Los Angeles
156.0,42.0,Male,3.8,13.93,17.0,2.89,4.61,4.33,New York
157.0,56.0,Female,6.74,8.09,6.0,4.33,3.81,2.97,Los Angeles
158.0,50.0,Female,4.77,2.15,25.0,1.45,2.96,0.64,Los Angeles
159.0,18.0,Female,6.85,8.89,25.0,2.34,0.96,2.14,Chicago
160.0,44.0,Male,2.38,2.97,8.0,3.1,3.33,0.8,Phoenix
161.0,30.0,Male,2.46,1.4,26.0,2.06,3.12,3.5,New York
162.0,58.0,Male,2.58,13.62,22.0,2.14,3.01,3.79,Phoenix
163.0,20.0,Male,11.34,11.06,28.0,1.65,2.45,0.53,Houston
164.0,56.0,Female,9.06,13.74,7.0,2.82,2.64,2.53,Chicago
165.0,23.0,Female,2.79,7.21,22.0,4.25,1.67,4.07,Chicago
166.0,25.0,Female,3.07,7.92,14.0,1.01,2.6,4.68,Houston
167.0,44.0,Male,9.04,3.19,3.0,4.67,0.99,2.57,New York
168.0,26.0,Female,2.72,4.21,10.0,3.45,4.03,4.75,Houston
169.0,54.0,Male,3.58,11.9,3.0,4.12,0.93,2.68,New York
170.0,50.0,Female,11.6,5.63,7.0,2.78,0.42,1.97,Los Angeles
171.0,59.0,Male,3.81,11.75,24.0,3.9,2.18,4.24,Chicago
172.0,41.0,Male,8.28,10.22,8.0,0.08,3.29,2.46,New York
173.0,32.0,Female,11.76,3.3,23.0,4.09,2.19,2.36,Phoenix
174.0,49.0,Female,5.12,7.6,5.0,0.2,1.38,2.45,Phoenix
175.0,49.0,Female,1.19,9.81,17.0,4.45,2.79,4.23,Chicago
176.0,41.0,Female,3.69,4.06,7.0,4.96,1.74,4.16,Houston
177.0,58.0,Male,10.14,11.8,26.0,1.47,4.66,2.02,Houston
178.0,29.0,Female,10.51,8.08,16.0,1.05,4.61,1.67,New York
179.0,56.0,Female,9.45,3.15,20.0,3.83,2.51,2.46,Houston
180.0,19.0,Female,2.24,8.58,18.0,1.27,1.64,2.86,Chicago
181.0,20.0,Male,9.75,14.0,8.0,4.33,3.69,1.19,New York
182.0,54.0,Male,11.11,2.96,27.0,0.51,0.18,3.97,Los Angeles
183.0,34.0,Female,7.61,11.62,26.0,0.63,2.37,2.43,Houston
184.0,19.0,Male,11.35,3.7,16.0,4.9,1.68,1.67,Houston
185.0,19.0,Female,10.1,11.17,29.0,3.37,4.6,0.53,New York
186.0,45.0,Male,8.34,10.55,26.0,4.23,0.06,1.19,Phoenix
187.0,40.0,Male,7.35,4.91,10.0,1.62,2.76,4.75,Houston
188.0,54.0,Male,4.83,5.24,9.0,3.38,3.7,1.53,Chicago
189.0,49.0,Male,2.75,11.3,10.0,2.97,2.43,0.84,Houston
190.0,50.0,Female,7.65,7.0,15.0,3.02,0.43,2.3,Los Angeles
191.0,18.0,Female,4.5,10.5,8.0,3.41,4.86,1.54,Houston
192.0,36.0,Female,10.53,2.92,20.0,2.88,2.59,0.18,Phoenix
193.0,19.0,Male,11.93,12.08,4.0,2.15,3.07,1.62,Houston
194.0,43.0,Female,9.28,10.24,10.0,1.38,1.18,2.72,New York
195.0,49.0,Female,2.0,12.79,13.0,3.84,2.42,2.76,Houston
196.0,23.0,Female,4.18,2.72,3.0,1.13,2.15,1.78,Phoenix
197.0,49.0,Male,2.2,8.71,24.0,3.46,0.37,2.24,New York
198.0,21.0,Male,8.16,8.79,8.0,1.17,0.53,4.83,Chicago
199.0,28.0,Male,9.42,5.59,18.0,3.13,4.19,1.89,New York
200.0,34.0,Female,11.18,6.96,29.0,3.74,1.2,1.29,Los Angeles
201.0,55.0,Female,5.82,1.49,22.0,1.09,0.97,1.22,New York
202.0,41.0,Female,10.92,10.7,14.0,0.3,2.52,2.29,Chicago
203.0,22.0,Male,10.66,8.14,13.0,0.65,3.84,3.8,Houston
204.0,51.0,Male,4.49,1.75,29.0,3.03,0.31,1.03,New York
205.0,23.0,Female,10.56,9.85,12.0,4.25,2.88,3.55,New York
206.0,39.0,Male,5.13,7.07,5.0,0.22,0.6,0.11,New York
207.0,28.0,Male,4.27,1.45,15.0,3.67,0.18,2.09,New York
208.0,33.0,Male,8.14,13.6,29.0,1.71,0.26,3.88,Chicago
209.0,50.0,Male,4.61,13.34,5.0,2.39,4.17,1.69,Phoenix
210.0,26.0,Female,7.93,7.67,17.0,4.64,0.59,2.82,Phoenix
211.0,23.0,Male,7.71,2.22,18.0,1.66,0.23,1.02,New York
212.0,33.0,Male,7.2,10.81,15.0,2.33,2.19,3.71,Chicago
213.0,46.0,Male,5.18,7.4,19.0,0.07,4.22,0.26,Chicago
214.0,20.0,Male,7.03,4.93,5.0,0.41,1.31,4.26,New York
215.0,37.0,Female,7.56,7.39,22.0,1.29,2.11,0.99,Los Angeles
216.0,53.0,Female,7.0,7.79,13.0,0.14,0.2,4.37,New York
217.0,36.0,Male,5.89,8.32,29.0,3.16,2.25,1.76,Los Angeles
218.0,43.0,Male,1.16,6.74,23.0,2.13,2.89,3.61,New York
219.0,20.0,Male,7.46,8.87,21.0,2.74,2.85,1.6,Los Angeles
220.0,36.0,Male,2.85,12.94,24.0,0.87,1.66,4.53,Los Angeles
221.0,37.0,Male,8.07,5.71,13.0,1.48,1.58,0.63,New York
222.0,49.0,Male,9.35,10.43,18.0,3.32,0.53,0.89,Los Angeles
223.0,24.0,Female,6.5,12.63,23.0,4.83,1.83,2.47,Houston
224.0,58.0,Male,6.97,6.93,5.0,0.25,0.5,0.41,Phoenix
225.0,50.0,Female,11.47,6.76,24.0,4.45,3.83,0.98,Chicago
226.0,57.0,Female,10.32,8.83,8.0,2.88,4.83,4.72,Los Angeles
227.0,56.0,Male,11.06,8.69,16.0,2.82,4.85,4.88,Los Angeles
228.0,35.0,Female,9.95,11.49,26.0,2.5,4.33,1.88,Chicago
229.0,57.0,Female,2.2,7.19,20.0,0.35,3.0,4.62,Los Angeles
230.0,18.0,Female,2.64,13.95,19.0,0.45,3.5,2.72,Chicago
231.0,28.0,Female,6.79,1.77,6.0,3.0,1.43,1.35,New York
232.0,45.0,Female,3.71,1.04,25.0,1.7,3.15,3.51,Houston
233.0,42.0,Female,6.24,9.32,17.0,4.59,2.28,3.29,Houston
234.0,40.0,Male,5.34,4.88,13.0,2.03,2.41,4.95,Phoenix
235.0,48.0,Female,7.04,4.12,28.0,0.72,3.79,1.33,Los Angeles
236.0,47.0,Female,9.22,5.05,5.0,3.57,1.41,3.36,Phoenix
237.0,59.0,Female,8.87,4.33,5.0,1.47,1.59,0.26,New York
238.0,52.0,Male,6.73,1.4,18.0,2.63,4.62,0.57,Houston
239.0,24.0,Female,10.05,13.63,7.0,3.49,0.28,0.02,New York
240.0,33.0,Male,5.74,3.87,23.0,4.5,2.43,5.0,New York
241.0,43.0,Female,10.86,10.54,12.0,3.96,4.56,4.01,Los Angeles
242.0,19.0,Male,1.78,10.91,21.0,3.38,3.05,3.93,New York
243.0,18.0,Male,11.5,13.08,27.0,3.4,2.73,2.55,Houston
244.0,29.0,Female,8.2,1.4,6.0,4.73,1.25,1.5,Phoenix
245.0,22.0,Female,5.18,12.34,21.0,1.48,1.72,0.76,Houston
246.0,54.0,Male,3.17,7.85,13.0,0.01,4.26,1.42,Los Angeles
247.0,49.0,Female,6.27,9.22,4.0,1.36,2.8,1.88,Houston
248.0,26.0,Male,3.14,9.38,12.0,1.09,2.57,3.78,Chicago
249.0,58.0,Male,2.83,11.66,13.0,3.31,0.5,2.7,Phoenix
250.0,52.0,Male,7.79,5.33,27.0,3.17,0.08,0.39,Chicago
251.0,36.0,Male,6.75,10.53,22.0,2.97,4.82,0.09,Chicago
252.0,33.0,Male,8.37,7.87,18.0,0.08,1.88,0.51,Los Angeles
253.0,20.0,Female,11.23,11.31,21.0,3.64,3.02,2.05,New York
254.0,37.0,Male,6.85,13.88,25.0,1.62,0.4,4.67,Chicago
255.0,41.0,Male,7.39,3.61,26.0,3.33,3.42,3.19,Houston
256.0,50.0,Female,1.99,13.93,13.0,2.78,4.66,4.01,New York
257.0,41.0,Male,8.89,2.17,16.0,1.71,2.88,2.33,Houston
258.0,28.0,Female,5.4,1.03,4.0,0.67,0.63,1.81,Houston
259.0,25.0,Female,11.74,1.57,25.0,0.47,2.91,0.54,New York
260.0,53.0,Female,10.05,5.44,7.0,4.16,3.83,4.38,New York
261.0,55.0,Male,6.75,9.23,29.0,4.59,2.03,3.92,Houston
262.0,57.0,Male,2.36,1.9,7.0,3.25,4.4,0.84,Los Angeles
263.0,37.0,Male,10.45,1.07,21.0,0.52,3.24,2.56,Phoenix
264.0,52.0,Female,9.8,13.18,23.0,2.01,4.5,2.44,Phoenix
265.0,42.0,Male,3.03,11.69,14.0,3.64,3.12,3.13,Los Angeles
266.0,52.0,Female,4.25,11.52,20.0,3.9,0.66,4.73,New York
267.0,42.0,Male,9.73,12.5,6.0,0.59,1.55,2.9,Houston
268.0,46.0,Female,3.04,10.1,24.0,0.0,1.01,2.7,Phoenix
269.0,35.0,Male,11.1,2.36,19.0,3.56,4.54,0.25,Houston
270.0,35.0,Male,5.67,6.19,12.0,1.78,3.8,0.31,Los Angeles
271.0,19.0,Male,1.96,10.4,22.0,1.27,3.38,0.94,Houston
272.0,52.0,Female,9.97,4.64,8.0,0.06,1.5,0.16,Los Angeles
273.0,33.0,Female,5.11,9.94,27.0,2.7,0.92,3.72,New York
274.0,58.0,Male,6.79,1.32,16.0,4.26,3.78,3.62,Los Angeles
275.0,53.0,Male,2.24,4.98,13.0,4.79,2.37,0.68,Los Angeles
276.0,50.0,Female,1.03,8.14,13.0,2.83,1.13,4.18,Phoenix
277.0,21.0,Female,8.02,9.22,20.0,2.57,3.08,0.77,Houston
278.0,50.0,Female,6.67,8.5,29.0,0.43,0.2,1.51,Phoenix
279.0,31.0,Male,7.53,10.07,25.0,2.74,1.63,1.24,Chicago
280.0,38.0,Female,9.73,1.08,24.0,1.9,2.34,1.86,Los Angeles
281.0,37.0,Male,8.11,2.31,20.0,3.04,0.74,1.27,Chicago
282.0,25.0,Female,2.92,12.3,26.0,1.94,4.92,2.44,Phoenix
283.0,24.0,Male,4.97,9.86,25.0,1.2,1.05,2.04,Houston
284.0,20.0,Female,10.96,2.47,13.0,0.47,0.65,4.93,Phoenix
285.0,34.0,Female,9.47,11.95,23.0,1.57,1.02,0.28,Houston
286.0,50.0,Female,7.12,4.15,14.0,0.48,3.85,0.71,Houston
287.0,29.0,Female,3.81,7.22,7.0,0.88,2.13,0.26,New York
288.0,39.0,Female,4.32,2.89,25.0,4.94,2.83,3.13,Los Angeles
289.0,39.0,Male,9.05,10.23,11.0,2.22,0.11,0.27,Phoenix
290.0,47.0,Female,10.36,9.67,29.0,2.66,0.17,4.18,Houston
291.0,55.0,Female,8.39,3.74,27.0,4.37,2.23,2.56,Phoenix
292.0,55.0,Female,9.9,12.22,11.0,4.98,4.08,2.64,Phoenix
293.0,25.0,Male,9.43,6.22,24.0,2.91,4.43,2.81,Houston
294.0,44.0,Female,2.65,4.8,12.0,4.06,0.43,0.85,Chicago
295.0,44.0,Male,5.66,2.98,24.0,1.63,2.69,0.99,Los Angeles
296.0,51.0,Female,2.68,4.46,21.0,1.53,4.57,1.59,Los Angeles
297.0,38.0,Female,3.59,1.29,3.0,2.01,1.94,2.97,New York
298.0,47.0,Male,10.56,8.58,9.0,3.36,4.15,1.05,New York
299.0,50.0,Female,6.2,11.95,6.0,3.41,0.67,0.58,New York
300.0,45.0,Male,6.89,8.14,3.0,1.58,4.68,4.85,Los Angeles
301.0,50.0,Male,2.96,3.85,17.0,0.67,3.76,0.11,Chicago
302.0,22.0,Female,4.43,1.44,10.0,3.16,4.71,4.01,Los Angeles
303.0,36.0,Male,3.53,3.79,14.0,0.64,3.38,3.94,Los Angeles
304.0,21.0,Female,3.27,6.41,24.0,2.89,1.82,1.49,Los Angeles
305.0,52.0,Female,8.02,10.87,24.0,3.47,4.69,0.68,Los Angeles
306.0,34.0,Male,3.83,3.44,20.0,3.5,1.38,0.73,Chicago
307.0,45.0,Male,7.95,10.36,17.0,3.77,1.66,3.49,New York
308.0,47.0,Male,1.64,12.27,19.0,4.36,3.5,3.21,Phoenix
309.0,46.0,Male,2.56,6.9,16.0,2.5,3.83,3.91,New York
310.0,23.0,Female,4.02,11.68,16.0,3.65,4.65,4.69,New York
311.0,52.0,Female,7.57,8.21,20.0,3.1,1.02,3.46,Phoenix
312.0,58.0,Male,8.43,9.28,22.0,0.93,3.99,0.78,Los Angeles
313.0,54.0,Female,5.87,7.84,20.0,0.13,3.69,1.22,Chicago
314.0,41.0,Female,5.9,7.02,18.0,1.42,0.32,4.21,Chicago
315.0,46.0,Female,8.97,4.05,3.0,2.22,1.94,1.05,New York
316.0,48.0,Female,1.17,4.94,25.0,3.09,1.41,0.36,Phoenix
317.0,52.0,Male,4.75,4.77,29.0,4.25,1.52,3.52,Houston
318.0,50.0,Male,10.01,8.32,13.0,0.98,4.91,2.01,Los Angeles
319.0,38.0,Female,7.64,2.56,17.0,0.63,3.21,4.6,New York
320.0,49.0,Male,4.71,12.92,14.0,4.82,3.59,3.25,Chicago
321.0,40.0,Male,10.96,10.37,10.0,0.54,4.88,0.45,Phoenix
322.0,50.0,Male,9.5,6.22,24.0,2.39,1.89,4.74,Phoenix
323.0,20.0,Female,3.91,3.06,22.0,2.93,4.01,1.29,New York
324.0,35.0,Female,8.1,12.47,8.0,2.71,2.17,1.69,Houston
325.0,42.0,Female,7.55,11.71,5.0,0.43,4.35,2.01,Chicago
326.0,59.0,Male,5.41,10.38,26.0,0.29,0.9,0.26,New York
327.0,48.0,Female,5.04,4.53,28.0,0.53,4.74,2.48,Houston
328.0,20.0,Female,4.78,6.23,15.0,2.93,1.09,0.62,Phoenix
329.0,57.0,Male,7.79,2.34,15.0,2.72,1.63,2.0,Los Angeles
330.0,41.0,Female,5.87,3.46,4.0,1.17,3.78,1.75,Chicago
331.0,49.0,Female,10.15,11.18,7.0,3.19,1.97,3.86,Chicago
332.0,39.0,Male,8.37,10.3,19.0,4.1,3.04,4.02,Houston
333.0,40.0,Male,1.77,8.72,8.0,0.21,2.22,0.77,New York
334.0,19.0,Male,8.04,12.64,4.0,2.49,3.71,1.83,Phoenix
335.0,44.0,Female,3.98,8.58,6.0,3.45,1.14,1.87,Houston
336.0,59.0,Female,7.52,7.07,24.0,1.26,0.29,0.76,Los Angeles
337.0,19.0,Female,8.48,5.42,28.0,1.54,1.5,3.99,Los Angeles
338.0,43.0,Male,3.54,13.23,13.0,3.07,2.37,3.54,Los Angeles
339.0,34.0,Male,6.03,2.08,10.0,4.49,0.84,0.95,Houston
340.0,57.0,Female,3.09,13.1,14.0,4.05,1.77,1.83,Phoenix
341.0,50.0,Female,1.58,11.75,10.0,2.92,2.0,0.53,Chicago
342.0,26.0,Male,5.16,2.69,13.0,3.65,0.29,3.14,New York
343.0,56.0,Male,4.99,8.34,24.0,1.82,2.92,0.61,Chicago
344.0,46.0,Male,11.95,12.27,22.0,3.2,4.42,4.93,Phoenix
345.0,59.0,Male,5.91,8.43,10.0,2.33,0.76,3.9,Chicago
346.0,43.0,Female,4.67,12.79,10.0,0.95,2.99,1.95,Houston
