App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Revenue_Estimate,Last_Updated_Month,Type_Binary
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739.0,21.0,500000.0,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,0.0,July,0
Mirror - Zoom & Exposure -,BEAUTY,3.9,32090.0,13.0,1000000.0,Free,0.0,Everyone,Beauty,"October 24, 2016",Varies with device,Varies with device,0.0,October,0
Beauty Selfie Camera,BEAUTY,4.2,2225.0,52.0,500000.0,Free,0.0,Everyone,Beauty,"February 28, 2018",1.6,4.1 and up,0.0,February,0
Hairstyles step by step,BEAUTY,4.6,4369.0,14.0,100000.0,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,0.0,July,0
Filters for Selfie,BEAUTY,4.3,8572.0,25.0,1000000.0,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,0.0,May,0
Tie - Always be happy,BEAUTY,4.7,964.0,9.0,50000.0,Free,0.0,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up,0.0,June,0
Ulta Beauty,BEAUTY,4.7,42050.0,13.0,1000000.0,Free,0.0,Everyone,Beauty,"June 5, 2018",5.4,5.0 and up,0.0,June,0
Prom MakeUp Tutorial,BEAUTY,4.8,104.0,12.0,10000.0,Free,0.0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up,0.0,June,0
Selfie Camera,BEAUTY,4.2,17934.0,13.0,1000000.0,Free,0.0,Everyone,Beauty,"September 12, 2017",Varies with device,Varies with device,0.0,September,0
Sweet Selfie Beauty Camera,BEAUTY,4.3,601.0,35.0,100000.0,Free,0.0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up,0.0,June,0
Colors of white in Urdu,BEAUTY,4.5,36.0,6.7,10000.0,Free,0.0,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up,0.0,July,0
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187.0,30.0,50000.0,Free,0.0,Teen,Beauty,"July 24, 2018",3.0.1,4.0.3 and up,0.0,July,0
Wrinkles and rejuvenation,BEAUTY,4.3,182.0,5.7,100000.0,Free,0.0,Everyone 10+,Beauty,"September 20, 2017",8.0,3.0 and up,0.0,September,0
Eyes Makeup Beauty Tips,BEAUTY,4.2,30.0,2.9,10000.0,Free,0.0,Everyone,Beauty,"April 9, 2018",3.3.9,4.0.3 and up,0.0,April,0
Photo Editor 2018,BEAUTY,4.5,134.0,17.0,10000.0,Free,0.0,Everyone,Beauty,"March 1, 2018",1.20,4.0.3 and up,0.0,March,0
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74.0,2.9,10000.0,Free,0.0,Everyone,Beauty,"April 5, 2018",2.3.09,4.0.3 and up,0.0,April,0
Girls Hairstyles,BEAUTY,4.1,3595.0,13.0,500000.0,Free,0.0,Everyone,Beauty,"May 24, 2018",Varies with device,4.0 and up,0.0,May,0
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315.0,2.6,1000000.0,Free,0.0,Everyone,Beauty,"November 21, 2017",1.4.2,4.0 and up,0.0,November,0
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75.0,4.2,50000.0,Free,0.0,Everyone,Beauty,"October 18, 2017",1.0.0,4.0.3 and up,0.0,October,0
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38.0,7.1,10000.0,Free,0.0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up,0.0,May,0
Manicure - nail design,BEAUTY,4.3,119.0,3.7,50000.0,Free,0.0,Everyone,Beauty,"July 23, 2018",1.3,4.1 and up,0.0,July,0
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277.0,22.0,500000.0,Free,0.0,Everyone,Beauty,"July 12, 2018",1.1.0,4.0.3 and up,0.0,July,0
Filters for B Live,BEAUTY,4.4,2280.0,24.0,500000.0,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,0.0,May,0
Skin Care and Natural Beauty,BEAUTY,4.3,654.0,7.4,100000.0,Free,0.0,Teen,Beauty,"July 17, 2018",1.15,4.1 and up,0.0,July,0
Facial Wrinkle Reduction,BEAUTY,4.6,184.0,21.0,10000.0,Free,0.0,Everyone,Beauty,"July 2, 2018",1.5,4.1 and up,0.0,July,0
Makeup Videos,BEAUTY,3.8,9.0,3.4,5000.0,Free,0.0,Everyone,Beauty,"June 7, 2018",1.0,4.0 and up,0.0,June,0
"Secrets of beauty, youth and health",BEAUTY,4.3,77.0,2.9,10000.0,Free,0.0,Mature 17+,Beauty,"August 8, 2017",2.0,2.3 and up,0.0,August,0
Recipes and tips for losing weight,BEAUTY,4.3,35.0,3.1,10000.0,Free,0.0,Everyone 10+,Beauty,"December 11, 2017",2.0,3.0 and up,0.0,December,0
Discover Color,BEAUTY,4.0,364.0,6.4,100000.0,Free,0.0,Everyone,Beauty,"May 24, 2018",1.1,4.0.3 and up,0.0,May,0
Eyeliner step by step 2018,BEAUTY,4.3,18.0,3.2,5000.0,Free,0.0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up,0.0,June,0
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473.0,8.2,100000.0,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,0.0,March,0
"Lady adviser (beauty, health)",BEAUTY,4.3,30.0,9.9,10000.0,Free,0.0,Mature 17+,Beauty,"January 24, 2018",3.0,3.0 and up,0.0,January,0
Step By Step Hairstyles For Women,BEAUTY,4.1,66.0,2.9,10000.0,Free,0.0,Everyone,Beauty,"April 5, 2018",3.1.89,4.0.3 and up,0.0,April,0
Rainbow Camera,BEAUTY,3.7,3871.0,23.0,1000000.0,Free,0.0,Everyone,Beauty,"July 30, 2018",2.2.0,4.0 and up,0.0,July,0
Methods of teeth whitening,BEAUTY,4.7,257.0,4.6,50000.0,Free,0.0,Everyone,Beauty,"August 7, 2017",1.0,4.0.3 and up,0.0,August,0
Girls hairstyles 2018,BEAUTY,4.2,62.0,3.1,10000.0,Free,0.0,Everyone,Beauty,"May 28, 2018",1.9.2,4.0.3 and up,0.0,May,0
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857.0,4.9,50000.0,Free,0.0,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up,0.0,August,0
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478.0,9.5,100000.0,Free,0.0,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up,0.0,July,0
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418.0,4.2,100000.0,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,0.0,March,0
Book store,BOOKS_AND_REFERENCE,4.4,22486.0,5.4,1000000.0,Free,0.0,Teen,Books & Reference,"June 6, 2018",3.2.1,4.0 and up,0.0,June,0
English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435.0,2.8,500000.0,Free,0.0,Everyone,Books & Reference,"January 21, 2018",1.0,4.0 and up,0.0,January,0
Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507.0,5.0,1000000.0,Free,0.0,Teen,Books & Reference,"August 1, 2018",2.0.075,4.0.3 and up,0.0,August,0
Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860.0,13.0,100000.0,Free,0.0,Everyone,Books & Reference,"July 17, 2018",1.0,4.0.3 and up,0.0,July,0
Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967.0,6.7,500000.0,Free,0.0,Everyone,Books & Reference,"August 4, 2018",1.1.6,4.0.3 and up,0.0,August,0
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506.0,17.0,1000000.0,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,0.0,July,0
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084.0,6.7,500000.0,Free,0.0,Everyone,Books & Reference,"May 17, 2018",15.0,2.3 and up,0.0,May,0
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303.0,21.0,1000000.0,Free,0.0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up,0.0,June,0
NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,4.7,19080.0,13.0,500000.0,Free,0.0,Everyone,Books & Reference,"April 25, 2018",Varies with device,Varies with device,0.0,April,0
Anonymous caller detection,BOOKS_AND_REFERENCE,4.3,161.0,2.7,10000.0,Free,0.0,Everyone,Books & Reference,"July 13, 2018",1.0,2.3 and up,0.0,July,0
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831.0,15.0,100000.0,Free,0.0,Teen,Books & Reference,"July 4, 2018",1.2.3,4.0 and up,0.0,July,0
English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620.0,19.0,500000.0,Free,0.0,Everyone,Books & Reference,"November 23, 2017",2.0,4.0.3 and up,0.0,November,0
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336.0,23.0,1000000.0,Free,0.0,Everyone,Books & Reference,"June 20, 2018",1.28,3.0 and up,0.0,June,0
Flybook,BOOKS_AND_REFERENCE,3.9,1778.0,4.9,500000.0,Free,0.0,Mature 17+,Books & Reference,"October 16, 2014",1.0.3,2.1 and up,0.0,October,0
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709.0,6.8,1000000.0,Free,0.0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,0.0,July,0
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527.0,2.9,100000.0,Free,0.0,Everyone,Books & Reference,"March 31, 2018",14.0,4.0 and up,0.0,March,0
Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322.0,3.5,100000.0,Free,0.0,Everyone,Books & Reference,"May 28, 2018",6.0,4.0.3 and up,0.0,May,0
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739.0,21.0,50000.0,Free,0.0,Everyone,Books & Reference,"July 17, 2018",2.0,3.0 and up,0.0,July,0
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065.0,2.3,500000.0,Free,0.0,Everyone,Books & Reference,"June 16, 2018",1.5,3.0 and up,0.0,June,0
SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,4.3,2.0,7.2,50000.0,Free,0.0,Everyone,Books & Reference,"June 15, 2018",3.0,6.0 and up,0.0,June,0
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788.0,10.0,1000000.0,Free,0.0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,0.0,July,0
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269.0,6.1,1000000.0,Free,0.0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,0.0,July,0
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105.0,2.1,1000000.0,Free,0.0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,0.0,July,0
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156.0,42.0,500000.0,Free,0.0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,0.0,February,0
URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,4.3,114.0,7.3,100000.0,Free,0.0,Everyone,Books & Reference,"August 7, 2015",1.1,5.1 and up,0.0,August,0
